State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3),PM2.5     Wtd AM (µg/m3),PM2.5     24-hr (µg/m3),SO2         1-hr (ppb)
Ohio,Clinton County,39027.0,42040.0,,,,,0.074,,,,
Ohio,Columbiana County,39029.0,107841.0,,0.02,,,,47.0,,,
Ohio,Cuyahoga County,39035.0,1280122.0,5.0,0.04,9.0,44.0,0.075,147.0,12.8,40.0,27.0
Ohio,Delaware County,39041.0,174214.0,,,,,0.066,,,,
Ohio,Franklin County,39049.0,1163414.0,1.0,0.0,9.0,43.0,0.069,97.0,10.9,36.0,4.0
Ohio,Fulton County,39051.0,42698.0,,0.01,,,,,,,
Ohio,Gallia County,39053.0,30934.0,,,,,,,,,52.0
Ohio,Geauga County,39055.0,93389.0,,,,,0.066,,,,
Ohio,Greene County,39057.0,161573.0,,,,,0.073,,,,
Ohio,Guernsey County,39059.0,40087.0,,,,,,,,,49.0
Ohio,Hamilton County,39061.0,802374.0,1.0,,18.0,49.0,0.075,88.0,11.1,31.0,13.0
Ohio,Hancock County,39063.0,74782.0,,,,,,,,,18.0
Ohio,Harrison County,39067.0,15864.0,,,,,,,,,
Ohio,Jefferson County,39081.0,69709.0,,,,,0.069,207.0,10.0,25.0,22.0
Ohio,Knox County,39083.0,60921.0,,,,,0.069,,,,
Ohio,Lake County,39085.0,230041.0,,,,,0.073,49.0,8.5,36.0,3.0
Ohio,Lawrence County,39087.0,62450.0,,,,,0.063,41.0,8.7,29.0,2.0
Ohio,Licking County,39089.0,166492.0,,,,,0.065,,,,
Ohio,Lorain County,39093.0,301356.0,,,,,0.064,,,,
Ohio,Lucas County,39095.0,441815.0,,,,,0.074,,10.5,33.0,15.0
Ohio,Madison County,39097.0,43435.0,,,,,0.067,,,,
Ohio,Mahoning County,39099.0,238823.0,,,,,0.068,162.0,10.0,31.0,10.0
Ohio,Marion County,39101.0,66501.0,,0.02,,,,,,,
Ohio,Medina County,39103.0,172332.0,,,,,0.072,,9.2,30.0,
Ohio,Miami County,39109.0,102506.0,,,,,0.069,,,,
Ohio,Montgomery County,39113.0,535153.0,,,,,0.071,105.0,10.1,34.0,
Ohio,Morgan County,39115.0,15054.0,,,,,,,,,24.0
Ohio,Noble County,39121.0,14645.0,,,,,0.066,,,,
Ohio,Portage County,39133.0,161419.0,,,,,0.07,,,,
Ohio,Preble County,39135.0,42270.0,1.0,,,,0.068,136.0,9.3,32.0,5.0
Ohio,Scioto County,39145.0,79499.0,,,,,,122.0,8.9,34.0,12.0
Ohio,Stark County,39151.0,375586.0,,0.15,,,0.07,72.0,10.7,31.0,
Ohio,Summit County,39153.0,541781.0,,,,,0.071,128.0,9.4,49.0,8.0
Ohio,Trumbull County,39155.0,210312.0,,,,,0.068,154.0,10.2,33.0,
Ohio,Warren County,39165.0,212693.0,,,,,0.074,,,,
Ohio,Washington County,39167.0,61778.0,,0.0,,,0.064,,,,26.0
Ohio,Wood County,39173.0,125488.0,,,,,0.071,,,,
Oklahoma,Adair County,40001.0,22683.0,1.0,,,,0.062,54.0,,,
Oklahoma,Caddo County,40015.0,29600.0,,,,,,,,,
Oklahoma,Canadian County,40017.0,115541.0,,,,,0.073,,,,
Oklahoma,Carter County,40019.0,47557.0,,,,,0.077,,,,
Oklahoma,Cherokee County,40021.0,46987.0,,,,,,,,,
Oklahoma,Cleveland County,40027.0,255755.0,,,,,0.072,,9.2,21.0,
Oklahoma,Comanche County,40031.0,124098.0,,,,,0.071,,6.9,17.0,
Oklahoma,Creek County,40037.0,69967.0,,,,,0.07,,,,
Oklahoma,Custer County,40039.0,27469.0,,,,,,,,,
Oklahoma,Dewey County,40043.0,4810.0,,,,,0.068,,7.1,21.0,
Oklahoma,Garfield County,40047.0,60580.0,,,,,,,,,37.0
Oklahoma,Jefferson County,40067.0,6472.0,,,,,0.074,,,,
Oklahoma,Johnston County,40069.0,10957.0,,,,,0.072,,,,
Oklahoma,Kay County,40071.0,46562.0,,,,,,,9.2,22.0,5.0
Oklahoma,Le Flore County,40079.0,50384.0,,,,,,,,,
Oklahoma,Lincoln County,40081.0,34273.0,,,,,,,,,
Oklahoma,Love County,40085.0,9423.0,,,,,,,,,
Oklahoma,McClain County,40087.0,34506.0,,,,,0.074,,,,
Oklahoma,Mayes County,40097.0,41259.0,,,,,0.067,,,,
Oklahoma,Muskogee County,40101.0,70990.0,,,,,,,,,
Oklahoma,Nowata County,40105.0,10536.0,,,,,0.07,,,,
Oklahoma,Oklahoma County,40109.0,718633.0,1.0,,12.0,29.0,0.072,89.0,8.9,20.0,1.0
Oklahoma,Osage County,40113.0,47472.0,,,,,0.074,,,,
Oklahoma,Ottawa County,40115.0,31848.0,,0.05,,,0.071,112.0,9.5,24.0,
Oklahoma,Pawnee County,40117.0,16577.0,,,,,,,,,
Oklahoma,Payne County,40119.0,77350.0,,,,,,,,,
Oklahoma,Pittsburg County,40121.0,45837.0,,0.01,,,0.072,,8.3,19.0,
Oklahoma,Pontotoc County,40123.0,37492.0,,,,,0.037,81.0,,,
Oklahoma,Pottawatomie County,40125.0,69442.0,,,,,,,,,
Oklahoma,Seminole County,40133.0,25482.0,,,,,,,,,
Oklahoma,Sequoyah County,40135.0,42391.0,,,,,0.065,,8.4,20.0,
Oklahoma,Tulsa County,40143.0,603403.0,1.0,,6.0,33.0,0.078,101.0,9.3,20.0,3.0
Oklahoma,Washington County,40147.0,50976.0,,,,,,,,,
Oregon,Benton County,41003.0,85579.0,,,,,,,,,
Oregon,Clackamas County,41005.0,375992.0,,,,,0.068,,,,
Oregon,Columbia County,41009.0,49351.0,,,,,0.056,,,,
Oregon,Crook County,41013.0,20978.0,,,,,,,8.6,49.0,
Oregon,Deschutes County,41017.0,157733.0,,,,,,,,,
Oregon,Douglas County,41019.0,107667.0,,,,,,,,,
Oregon,Harney County,41025.0,7422.0,,,,,,,9.6,27.0,
Oregon,Jackson County,41029.0,203206.0,,,,,0.062,,,135.0,
Oregon,Josephine County,41033.0,82713.0,,,,,,,11.4,55.0,
Oregon,Klamath County,41035.0,66380.0,,,,,,,9.5,34.0,
Oregon,Lake County,41037.0,7895.0,,,,,,46.0,6.7,24.0,
Oregon,Lane County,41039.0,351715.0,,,,,0.06,118.0,10.1,46.0,
Oregon,Linn County,41043.0,116672.0,,,,,,,,,
Oregon,Marion County,41047.0,315335.0,,,,,0.064,,,,
Oregon,Multnomah County,41051.0,735334.0,1.0,,6.0,,0.056,27.0,6.5,17.0,
Oregon,Umatilla County,41059.0,75889.0,,,,,0.062,,,,
Oregon,Union County,41061.0,25748.0,,,,,,30.0,,,
Oregon,Wasco County,41065.0,25213.0,,,,,,,,,
Oregon,Washington County,41067.0,529710.0,1.0,,9.0,29.0,0.056,,6.0,19.0,
Pennsylvania,Adams County,42001.0,101407.0,1.0,,3.0,12.0,0.07,,10.5,36.0,3.0
Pennsylvania,Allegheny County,42003.0,1223348.0,3.0,,9.0,38.0,0.07,168.0,12.0,35.0,65.0
Pennsylvania,Armstrong County,42005.0,68941.0,,,,,0.071,,8.5,27.0,
Pennsylvania,Beaver County,42007.0,170539.0,,0.0,8.0,36.0,0.068,132.0,9.9,29.0,5.0
Pennsylvania,Berks County,42011.0,411442.0,,0.02,,,0.074,,10.2,29.0,3.0
Pennsylvania,Blair County,42013.0,127089.0,,,,,0.068,,9.0,30.0,5.0
Pennsylvania,Bradford County,42015.0,62622.0,,,,,0.067,,,,
Pennsylvania,Bucks County,42017.0,625249.0,,,,,0.073,,,,
Pennsylvania,Cambria County,42021.0,143679.0,1.0,,6.0,30.0,0.066,84.0,8.7,26.0,10.0
Pennsylvania,Carbon County,42025.0,65249.0,,0.18,,,,,,,
Pennsylvania,Centre County,42027.0,153990.0,,,4.0,25.0,0.069,,8.9,31.0,2.0
Pennsylvania,Chester County,42029.0,498886.0,,,,,0.07,,9.4,31.0,
Pennsylvania,Cumberland County,42041.0,235406.0,,,,,,,8.9,26.0,
Pennsylvania,Dauphin County,42043.0,268100.0,,,,,0.072,130.0,11.3,32.0,
Pennsylvania,Delaware County,42045.0,558979.0,,0.0,9.0,39.0,0.074,,9.6,26.0,
Pennsylvania,Elk County,42047.0,31946.0,,,,,0.067,,,,
Pennsylvania,Erie County,42049.0,280566.0,1.0,,5.0,32.0,0.068,72.0,8.5,33.0,
Pennsylvania,Fayette County,42051.0,136606.0,,,,,0.068,,,,
Pennsylvania,Franklin County,42055.0,149618.0,,,,,0.067,,,,
Pennsylvania,Greene County,42059.0,38686.0,,,,,0.068,,,,
Pennsylvania,Indiana County,42063.0,88880.0,,,,,0.07,,,,23.0
Pennsylvania,Lackawanna County,42069.0,214437.0,1.0,,10.0,46.0,0.067,90.0,9.3,28.0,2.0
Pennsylvania,Lancaster County,42071.0,519445.0,,0.03,,,0.069,107.0,10.2,33.0,
Pennsylvania,Lawrence County,42073.0,91108.0,,0.01,,,0.059,,,,
Pennsylvania,Lebanon County,42075.0,133568.0,,,,,0.07,,9.4,28.0,
Pennsylvania,Lehigh County,42077.0,349497.0,,,,,0.064,91.0,9.4,29.0,
Pennsylvania,Luzerne County,42079.0,320918.0,,,,,,,,,
Pennsylvania,Lycoming County,42081.0,116111.0,,,,,0.069,,,,
Pennsylvania,Mercer County,42085.0,116638.0,,,,,0.067,,8.1,27.0,
Pennsylvania,Monroe County,42089.0,169842.0,,,,,0.066,,,,
Pennsylvania,Montgomery County,42091.0,799874.0,,,,,0.066,,9.4,27.0,
Pennsylvania,Northampton County,42095.0,297735.0,,,8.0,,0.07,,9.7,30.0,7.0
Pennsylvania,Perry County,42099.0,45969.0,,,,,,,,,
Pennsylvania,Philadelphia County,42101.0,1526006.0,1.0,,15.0,48.0,0.072,174.0,13.3,36.0,5.0
Pennsylvania,Somerset County,42111.0,77742.0,,,,,0.067,,,,
Pennsylvania,Susquehanna County,42115.0,43356.0,,,,,,,,,
Pennsylvania,Tioga County,42117.0,41981.0,,,,,0.066,,,,
Pennsylvania,Warren County,42123.0,41815.0,,,,,,,,,41.0
Pennsylvania,Washington County,42125.0,207820.0,,,7.0,33.0,0.069,,10.5,36.0,13.0
Pennsylvania,Westmoreland County,42129.0,365169.0,,0.0,,,0.062,,,,
Pennsylvania,Wyoming County,42131.0,28276.0,,,,,,,,,
Pennsylvania,York County,42133.0,434972.0,,,9.0,40.0,0.068,,10.7,36.0,
Rhode Island,Kent County,44003.0,166158.0,,,,,0.066,,5.9,22.0,
Rhode Island,Providence County,44007.0,626667.0,2.0,,13.0,35.0,0.066,29.0,8.2,24.0,2.0
Rhode Island,Washington County,44009.0,126979.0,,,,,0.075,,6.3,29.0,
South Carolina,Aiken County,45003.0,160099.0,,,,,0.061,,,,
South Carolina,Anderson County,45007.0,187126.0,,,,,0.066,,,,
South Carolina,Beaufort County,45013.0,162233.0,,,,,,,,,
South Carolina,Berkeley County,45015.0,177843.0,,,,,0.062,,,,
South Carolina,Charleston County,45019.0,350209.0,,,7.0,,0.056,70.0,8.1,20.0,6.0
South Carolina,Chesterfield County,45025.0,46734.0,,,,,0.06,,8.0,25.0,
South Carolina,Colleton County,45029.0,38892.0,,,,,,,,,
South Carolina,Darlington County,45031.0,68681.0,,,,,0.066,,,,
South Carolina,Edgefield County,45037.0,26985.0,,,,,0.059,,8.7,21.0,5.0
South Carolina,Florence County,45041.0,136885.0,,,,,,,9.1,26.0,
South Carolina,Georgetown County,45043.0,60158.0,,,,,,,,,
South Carolina,Greenville County,45045.0,451225.0,,,7.0,,0.067,60.0,8.9,24.0,2.0
South Carolina,Greenwood County,45047.0,69661.0,,,,,,,,,
South Carolina,Horry County,45051.0,269291.0,,,,,0.067,,7.9,23.0,
South Carolina,Lexington County,45063.0,262391.0,,,,,,39.0,,,
South Carolina,Oconee County,45073.0,74273.0,,,,,,,,,
South Carolina,Orangeburg County,45075.0,92501.0,,,,,,,,,
South Carolina,Richland County,45079.0,384504.0,1.0,,3.0,28.0,0.069,44.0,8.2,22.0,2.0
South Carolina,Spartanburg County,45083.0,284307.0,,,,,0.07,,8.9,23.0,
South Carolina,York County,45091.0,226073.0,,,,,0.069,,8.5,22.0,
South Dakota,Brookings County,46011.0,31965.0,,,,,0.07,91.0,6.4,27.0,
South Dakota,Brown County,46013.0,36531.0,,,,,,89.0,7.0,36.0,
South Dakota,Clay County,46027.0,13864.0,,,,,0.074,,8.7,41.0,
South Dakota,Codington County,46029.0,27227.0,,,,,0.072,103.0,9.5,29.0,
South Dakota,Custer County,46033.0,8216.0,,,,,0.065,74.0,,,
South Dakota,Hughes County,46065.0,17022.0,,,,,,,5.1,32.0,
South Dakota,Jackson County,46071.0,3031.0,,,,,0.068,93.0,7.5,32.0,
South Dakota,Meade County,46093.0,25434.0,,,,,0.068,88.0,,,
South Dakota,Minnehaha County,46099.0,169468.0,,,5.0,40.0,0.082,80.0,,,1.0
South Dakota,Pennington County,46103.0,100948.0,,,4.0,31.0,,191.0,8.4,31.0,2.0
South Dakota,Union County,46127.0,14399.0,,,,,,,,,
Tennessee,Anderson County,47001.0,75129.0,,,,,0.064,,,,
Tennessee,Blount County,47009.0,123010.0,1.0,,1.0,,0.071,,7.7,23.0,
Tennessee,Claiborne County,47025.0,32213.0,,,,,0.065,,,,
Tennessee,Davidson County,47037.0,626681.0,2.0,,13.0,52.0,0.07,57.0,10.2,25.0,6.0
Tennessee,DeKalb County,47041.0,18723.0,,,,,0.064,,,,
Tennessee,Dyer County,47045.0,38335.0,,,,,,,7.5,19.0,
Tennessee,Hamilton County,47065.0,336463.0,,,,,0.066,,9.5,28.0,
Tennessee,Jefferson County,47089.0,51407.0,,,,,0.066,,,,
Tennessee,Knox County,47093.0,432226.0,,0.06,,,0.063,68.0,9.6,26.0,
Tennessee,Lawrence County,47099.0,41869.0,,,,,,,8.3,19.0,
Tennessee,Loudon County,47105.0,48556.0,,,,,,,7.1,20.0,
Tennessee,McMinn County,47107.0,52266.0,,,,,,,8.3,22.0,
Tennessee,Madison County,47113.0,98294.0,,,,,,,8.4,19.0,
Tennessee,Maury County,47119.0,80956.0,,,,,,,7.5,19.0,
Tennessee,Montgomery County,47125.0,172331.0,,,,,,,7.3,19.0,
Tennessee,Putnam County,47141.0,72321.0,,,,,,,7.7,21.0,
Tennessee,Roane County,47145.0,54181.0,,,,,,,7.4,19.0,
Tennessee,Sevier County,47155.0,89889.0,,,,,0.069,,,,
Tennessee,Shelby County,47157.0,927644.0,1.0,,9.0,38.0,0.073,67.0,9.6,20.0,2.0
Tennessee,Sullivan County,47163.0,156823.0,,0.26,,,0.065,,7.1,22.0,61.0
Tennessee,Sumner County,47165.0,160645.0,,,,,0.076,,7.4,22.0,
Tennessee,Williamson County,47187.0,183182.0,,,,,0.068,,,,
Tennessee,Wilson County,47189.0,113993.0,,,,,0.071,,,,
Texas,Atascosa County,48013.0,44911.0,,,,,,,9.0,26.0,
Texas,Bell County,48027.0,310235.0,,,2.0,23.0,0.076,,7.7,22.0,
Texas,Bexar County,48029.0,1714773.0,1.0,,8.0,37.0,0.076,50.0,8.8,25.0,2.0
Texas,Bowie County,48037.0,92565.0,,,,,,,,,
Texas,Brazoria County,48039.0,313166.0,,,6.0,37.0,0.082,,,,6.0
Texas,Brazos County,48041.0,194851.0,,,,,,,8.0,20.0,
Texas,Brewster County,48043.0,9232.0,,,,,0.064,,,,
Texas,Caldwell County,48055.0,38066.0,,,,,,,,,
Texas,Cameron County,48061.0,406220.0,,,,,0.06,,11.6,33.0,
Texas,Collin County,48085.0,782341.0,,0.07,,,0.082,,,,
Texas,Dallas County,48113.0,2368139.0,1.0,,9.0,41.0,0.08,70.0,10.5,22.0,4.0
Texas,Denton County,48121.0,662614.0,,,5.0,,0.081,,8.1,20.0,
Texas,Ector County,48135.0,137130.0,,,,,,,6.8,16.0,
Texas,Ellis County,48139.0,149610.0,,,,,0.07,,,,
Texas,El Paso County,48141.0,800647.0,2.0,,15.0,57.0,0.074,180.0,8.6,23.0,6.0
Texas,Freestone County,48161.0,19816.0,,,,,,,,,9.0
Texas,Galveston County,48167.0,291309.0,,,3.0,,0.081,,,,13.0
Texas,Gregg County,48183.0,121730.0,,,2.0,22.0,0.067,,,,13.0
Texas,Harris County,48201.0,4092459.0,2.0,,18.0,60.0,0.09,161.0,13.1,28.0,12.0
Texas,Harrison County,48203.0,65631.0,,,2.0,,0.065,,8.7,18.0,10.0
Texas,Hidalgo County,48215.0,774769.0,,,,,0.051,47.0,,,
Texas,Hood County,48221.0,51182.0,,,,,0.079,,,,
Texas,Howard County,48227.0,35012.0,,,,,,,,,161.0
Texas,Hunt County,48231.0,86129.0,,,4.0,24.0,0.069,,,,
Texas,Hutchinson County,48233.0,22150.0,,,,,,,,,102.0
Texas,Jeff Davis County,48243.0,2342.0,,,,,,,,,
Texas,Jefferson County,48245.0,252273.0,,,6.0,31.0,0.07,,10.1,24.0,70.0
Texas,Johnson County,48251.0,150934.0,,,,,0.075,,,,
Texas,Karnes County,48255.0,14824.0,,,4.0,25.0,,,,,
Texas,Kaufman County,48257.0,103350.0,,,4.0,,0.071,,7.8,18.0,17.0
Texas,Kleberg County,48273.0,32061.0,,,,,,,9.4,24.0,
Texas,Lubbock County,48303.0,278831.0,,,,,,,5.3,15.0,
Texas,McLennan County,48309.0,234906.0,1.0,,,,0.076,,,,5.0
Texas,Marion County,48315.0,10546.0,,,,,,,,,
Texas,Maverick County,48323.0,54258.0,,,,,,,7.9,25.0,
Texas,Montgomery County,48339.0,455746.0,,,3.0,20.0,0.072,,10.3,23.0,
Texas,Navarro County,48349.0,47735.0,,,3.0,,0.064,,,,185.0
Texas,Nueces County,48355.0,340223.0,,,,,0.065,38.0,8.9,24.0,4.0
Texas,Orange County,48361.0,81837.0,,,4.0,24.0,0.068,,9.0,21.0,
Texas,Parker County,48367.0,116927.0,,,,,0.078,,,,
Texas,Polk County,48373.0,45413.0,,,,,0.063,,,,
Texas,Potter County,48375.0,121073.0,,,,,,,5.7,15.0,148.0
Texas,Randall County,48381.0,120725.0,,,,,0.068,,,,
Texas,Robertson County,48395.0,16622.0,,,,,,,,,29.0
Texas,Rockwall County,48397.0,78337.0,,,,,0.067,,,,
Texas,Rusk County,48401.0,53330.0,,,,,,,,,
Texas,Smith County,48423.0,209714.0,,,2.0,15.0,0.071,,,,
Texas,Tarrant County,48439.0,1809034.0,2.0,,14.0,46.0,0.084,,10.7,23.0,
Texas,Titus County,48449.0,32334.0,,,,,,,,,18.0
Texas,Travis County,48453.0,1024266.0,2.0,,13.0,,0.074,53.0,10.4,25.0,
Texas,Victoria County,48469.0,86793.0,,,,,0.059,,,,
Texas,Webb County,48479.0,250304.0,1.0,,,,0.068,62.0,9.1,28.0,
Texas,Wilson County,48493.0,42918.0,,,4.0,,,,,,
Utah,Box Elder County,49003.0,49975.0,,,1.0,,0.057,,,,
Utah,Cache County,49005.0,112656.0,,,5.0,37.0,0.067,,7.5,38.0,
Utah,Carbon County,49007.0,21403.0,,,2.0,,0.059,,3.6,7.0,
Utah,Davis County,49011.0,306479.0,,,12.0,51.0,0.073,60.0,7.3,26.0,
Utah,Duchesne County,49013.0,18607.0,,,8.0,51.0,0.094,67.0,8.0,32.0,
Utah,Grand County,49019.0,9225.0,,,,,0.062,,,,
Utah,Iron County,49021.0,46163.0,,,6.0,61.0,0.061,,5.0,10.0,
Utah,Salt Lake County,49035.0,1029655.0,1.0,,16.0,57.0,0.076,79.0,8.6,31.0,5.0
Utah,San Juan County,49037.0,14746.0,,,,,0.063,,,,
Utah,Tooele County,49045.0,58218.0,,,2.0,19.0,0.068,,5.6,22.0,
Utah,Uintah County,49047.0,32588.0,,,5.0,38.0,0.098,,6.6,24.0,
Utah,Utah County,49049.0,516564.0,1.0,,8.0,39.0,0.066,76.0,6.8,21.0,
Utah,Washington County,49053.0,138115.0,,,4.0,29.0,0.064,,4.3,9.0,
Utah,Weber County,49057.0,231236.0,1.0,,9.0,44.0,0.07,69.0,5.9,20.0,
Vermont,Addison County,50001.0,36821.0,,,,,,,,,
Vermont,Bennington County,50003.0,37125.0,,,,,0.065,,6.3,32.0,
Vermont,Chittenden County,50007.0,156545.0,1.0,,,,0.064,22.0,7.3,24.0,1.0
Vermont,Rutland County,50021.0,61642.0,1.0,,5.0,30.0,0.063,34.0,7.2,21.0,1.0
Vermont,Washington County,50023.0,59534.0,,,,,,,,,
Virginia,Albemarle County,51003.0,98970.0,,,,,0.065,,8.2,34.0,
Virginia,Arlington County,51013.0,207627.0,1.0,,9.0,40.0,0.071,,9.1,33.0,
Virginia,Caroline County,51033.0,28545.0,,,,,0.065,,,,
Virginia,Carroll County,51035.0,30042.0,,,,,,44.0,,,
Virginia,Charles City County,51036.0,7256.0,,,4.0,27.0,0.06,,7.3,26.0,3.0
Virginia,Chesterfield County,51041.0,316236.0,,,,,0.062,,7.8,21.0,
Virginia,Fairfax County,51059.0,1081726.0,1.0,,16.0,47.0,0.073,131.0,9.5,33.0,2.0
Virginia,Fauquier County,51061.0,65203.0,,,,,0.064,,,,
Virginia,Frederick County,51069.0,78305.0,,,,,0.068,89.0,8.7,33.0,
Virginia,Giles County,51071.0,17286.0,,,,,0.067,,,,39.0
Virginia,Hanover County,51085.0,99863.0,,,,,0.063,,,,
Virginia,Henrico County,51087.0,306935.0,1.0,,6.0,30.0,0.067,65.0,8.5,28.0,2.0
Virginia,Loudoun County,51107.0,312311.0,,,5.0,32.0,0.067,,8.2,27.0,
Virginia,Madison County,51113.0,13308.0,,,,,0.068,,,,
Virginia,Montgomery County,51121.0,94392.0,,0.0,,,,,,,
Virginia,Page County,51139.0,24042.0,,,,,,,,,
Virginia,Prince Edward County,51147.0,23368.0,,,,,0.061,,,,
Virginia,Prince William County,51153.0,402002.0,,,3.0,22.0,0.07,,,,
Virginia,Roanoke County,51161.0,92376.0,1.0,,5.0,31.0,0.064,,7.8,28.0,3.0
Virginia,Rockbridge County,51163.0,22307.0,,,,,0.063,,,,
Virginia,Rockingham County,51165.0,76314.0,,,9.0,37.0,0.066,,8.3,38.0,2.0
Virginia,Stafford County,51179.0,128961.0,,,,,0.066,34.0,,,
Virginia,Wythe County,51197.0,29235.0,,,,,0.061,,,,
Virginia,Alexandria city,51510.0,139966.0,,,,,,,,,
Virginia,Bristol city,51520.0,17835.0,,,,,,,8.4,21.0,
Virginia,Chesapeake city,51550.0,222209.0,,,,,,,,,
Virginia,Hampton city,51650.0,137436.0,1.0,,3.0,22.0,0.066,62.0,8.1,28.0,3.0
Virginia,Hopewell city,51670.0,22591.0,,,,,,24.0,,,
Virginia,Lynchburg city,51680.0,75568.0,,,,,,,7.7,23.0,
Virginia,Newport News city,51700.0,180719.0,,,,,,,,,
Virginia,Norfolk city,51710.0,242803.0,1.0,,8.0,37.0,,24.0,,,3.0
Virginia,Richmond city,51760.0,204214.0,1.0,,13.0,47.0,,,8.7,27.0,
Virginia,Roanoke city,51770.0,97032.0,,,,,,,,,
Virginia,Salem city,51775.0,24802.0,,,,,,,8.0,22.0,
Virginia,Suffolk city,51800.0,84585.0,,,,,0.061,,,,
Virginia,Virginia Beach city,51810.0,437994.0,,,,,,47.0,8.0,25.0,
Washington,Adams County,53001.0,18728.0,,,,,,,,,
Washington,Asotin County,53003.0,21623.0,,,,,,,,,
Washington,Benton County,53005.0,175177.0,,,,,0.067,185.0,,,
Washington,Chelan County,53007.0,72453.0,,,,,,,,,
Washington,Clallam County,53009.0,71404.0,0.0,,,,0.05,,,,
Washington,Clark County,53011.0,425363.0,,,,,0.062,,6.4,25.0,
Washington,Columbia County,53013.0,4078.0,,,,,0.057,,,,
Washington,Cowlitz County,53015.0,102410.0,,,,,,,,,
Washington,Grant County,53025.0,89120.0,,,,,,,,,
Washington,Grays Harbor County,53027.0,72797.0,,,,,,,,,
Washington,Jefferson County,53031.0,29872.0,,,,,,,,,
Washington,King County,53033.0,1931249.0,1.0,,15.0,50.0,0.068,17.0,7.9,24.0,3.0
Washington,Kitsap County,53035.0,251133.0,,,,,,,4.9,19.0,
Washington,Kittitas County,53037.0,40915.0,,,,,,,6.5,18.0,
Washington,Lewis County,53041.0,75455.0,,,,,,,,,
Washington,Mason County,53045.0,60699.0,,,,,,,,,
Washington,Okanogan County,53047.0,41120.0,,,,,,,11.8,51.0,
Washington,Pierce County,53053.0,795225.0,,,13.0,37.0,0.057,,7.3,29.0,
Washington,Skagit County,53057.0,116901.0,,,,,0.046,,5.3,12.0,4.0
Washington,Skamania County,53059.0,11066.0,,,,,,,,,
Washington,Snohomish County,53061.0,713335.0,,,,,,,8.5,26.0,
Washington,Spokane County,53063.0,471221.0,,,,,0.062,189.0,7.7,25.0,
Washington,Stevens County,53065.0,43531.0,,,,,,167.0,10.1,31.0,
Washington,Thurston County,53067.0,252264.0,,,,,0.055,,,,
Washington,Walla Walla County,53071.0,58781.0,,,,,,201.0,,,
Washington,Whatcom County,53073.0,201140.0,,,,,0.055,,5.0,12.0,4.0
Washington,Whitman County,53075.0,44776.0,,,,,,,,,
Washington,Yakima County,53077.0,243231.0,,,,,,168.0,9.5,26.0,
West Virginia,Berkeley County,54003.0,104169.0,,,,,0.071,,10.3,32.0,
West Virginia,Brooke County,54009.0,24069.0,,,,,,197.0,8.8,25.0,31.0
West Virginia,Cabell County,54011.0,96319.0,,,,,0.063,,8.2,26.0,
West Virginia,Greenbrier County,54025.0,35480.0,,,,,0.061,,,,
West Virginia,Hancock County,54029.0,30676.0,,,,,0.071,74.0,8.5,25.0,16.0
West Virginia,Harrison County,54033.0,69099.0,,,,,,,8.4,23.0,
West Virginia,Kanawha County,54039.0,193063.0,1.0,,,,0.06,,8.8,25.0,5.0
West Virginia,Marion County,54049.0,56418.0,,,,,,,8.3,25.0,
West Virginia,Marshall County,54051.0,33107.0,,,,,,,10.5,31.0,7.0
West Virginia,Mason County,54053.0,27324.0,,,,,,,,,36.0
West Virginia,Mercer County,54055.0,62264.0,,,,,,,,,
West Virginia,Monongalia County,54061.0,96189.0,,,,,0.066,,8.3,26.0,10.0
West Virginia,Ohio County,54069.0,44443.0,,,,,0.07,,8.9,25.0,
West Virginia,Raleigh County,54081.0,78859.0,,,,,,,,,
West Virginia,Summers County,54089.0,13927.0,,,,,,,,,
West Virginia,Tucker County,54093.0,7141.0,,,,,0.063,,,,
West Virginia,Wood County,54107.0,86956.0,,,,,0.069,,8.9,27.0,28.0
Wisconsin,Ashland County,55003.0,16157.0,,,,,0.063,,6.6,27.0,
Wisconsin,Brown County,55009.0,248007.0,,,,,0.074,,9.5,38.0,
Wisconsin,Columbia County,55021.0,56833.0,,,,,0.082,,,,
Wisconsin,Dane County,55025.0,488073.0,,,,,0.081,208.0,10.7,39.0,
Wisconsin,Dodge County,55027.0,88759.0,1.0,,,,0.078,193.0,9.4,43.0,2.0
Wisconsin,Door County,55029.0,27785.0,,,,,0.073,,,,
Wisconsin,Douglas County,55031.0,44159.0,,,,,,,,,
Wisconsin,Eau Claire County,55035.0,98736.0,,,,,0.074,96.0,9.4,39.0,
Wisconsin,Fond du Lac County,55039.0,101633.0,,,,,0.071,,,,
Wisconsin,Forest County,55041.0,9304.0,,,,,0.072,,7.5,37.0,2.0
Wisconsin,Grant County,55043.0,51208.0,,,,,,,10.4,34.0,
Wisconsin,Jackson County,55053.0,20449.0,,,,,,,8.0,35.0,
Wisconsin,Jefferson County,55055.0,83686.0,,,,,0.079,,,,
Wisconsin,Kenosha County,55059.0,166426.0,1.0,,,,0.084,,8.7,25.0,
Wisconsin,Kewaunee County,55061.0,20574.0,,,,,0.075,,,,
Wisconsin,La Crosse County,55063.0,114638.0,,,,,0.076,,9.2,35.0,
Wisconsin,Manitowoc County,55071.0,81442.0,,,,,0.069,,,,
